week,year,movements,month,season,flight_mov
6,2023,131240,Feb,Winter,3390
7,2023,138640,Feb,Winter,4005
8,2023,135380,Feb,Winter,3487
9,2023,146240,Mar,Spring,3748
10,2023,152640,Mar,Spring,3441
11,2023,161380,Mar,Spring,4196
12,2023,165240,Mar,Spring,4177
13,2023,171640,Apr,Spring,4423
14,2023,180380,Apr,Spring,4971
15,2023,189240,Apr,Spring,4568
16,2023,197640,Apr,Spring,4873
17,2023,205380,May,Spring,5053
18,2023,213240,May,Spring,5785
19,2023,220640,May,Spring,5253
20,2023,227380,May,Spring,6356
21,2023,233240,Jun,Summer,5804
22,2023,240640,Jun,Summer,5500
23,2023,246380,Jun,Summer,6716
24,2023,250240,Jun,Summer,6651
25,2023,254640,Jun,Summer,6511
26,2023,256380,Jun,Summer,6788
27,2023,259240,Jul,Summer,7315
28,2023,263640,Jul,Summer,6753
29,2023,267380,Jul,Summer,7320
30,2023,271240,Jul,Summer,6792
31,2023,275640,Jul,Summer,7481
32,2023,275380,Aug,Summer,6506
33,2023,272240,Aug,Summer,7329
34,2023,268640,Aug,Summer,7038
35,2023,263380,Aug,Summer,6472
36,2023,254240,Sep,Autumn,7033
37,2023,244640,Sep,Autumn,6210
38,2023,234380,Sep,Autumn,5608
39,2023,225240,Sep,Autumn,6378
40,2023,214640,Oct,Autumn,5463
41,2023,205380,Oct,Autumn,5204
42,2023,196240,Oct,Autumn,4831
43,2023,187640,Oct,Autumn,5193
44,2023,179380,Nov,Autumn,4989
45,2023,171240,Nov,Autumn,4276
46,2023,163640,Nov,Winter,4138
47,2023,157380,Nov,Winter,3990
48,2023,150240,Dec,Winter,3789
49,2023,146640,Dec,Winter,3924
50,2023,143380,Dec,Winter,3639
51,2023,141240,Dec,Winter,3573
52,2023,139640,Dec,Winter,3744
1,2024,125240,Jan,Winter,2846
2,2024,124540,Jan,Winter,3049
3,2024,131380,Jan,Winter,3545
4,2024,136640,Jan,Winter,3312
5,2024,141380,Feb,Winter,3765
6,2024,140240,Feb,Winter,3374
7,2024,148640,Feb,Winter,3506
8,2024,144380,Feb,Winter,3809
9,2024,157240,Mar,Spring,3748
10,2024,165640,Mar,Spring,4070
11,2024,175380,Mar,Spring,4212
12,2024,180240,Mar,Spring,4089
13,2024,187640,Apr,Spring,4785
14,2024,197380,Apr,Spring,5186
15,2024,207240,Apr,Spring,5490
16,2024,215640,Apr,Spring,5687
17,2024,224380,May,Spring,5667
18,2024,232240,May,Spring,5728
19,2024,240640,May,Spring,5956
20,2024,248380,May,Spring,5963
21,2024,254240,Jun,Summer,6388
22,2024,261640,Jun,Summer,6074
23,2024,268380,Jun,Summer,6852
24,2024,273240,Jun,Summer,6012
25,2024,277640,Jun,Summer,6740
26,2024,279380,Jun,Summer,7386
27,2024,283240,Jul,Summer,7586
28,2024,287640,Jul,Summer,7039
29,2024,292380,Jul,Summer,7447
30,2024,296240,Jul,Summer,7157
31,2024,299640,Jul,Summer,7336
32,2024,300380,Aug,Summer,7584
33,2024,296240,Aug,Summer,7827
34,2024,291640,Aug,Summer,8028
35,2024,285380,Aug,Summer,7363
36,2024,274240,Sep,Autumn,6574
37,2024,263640,Sep,Autumn,6549
38,2024,252380,Sep,Autumn,6833
39,2024,242240,Sep,Autumn,6031
40,2024,230640,Oct,Autumn,5675
41,2024,220380,Oct,Autumn,5837
42,2024,210240,Oct,Autumn,5241
43,2024,200640,Oct,Autumn,5029
44,2024,191380,Nov,Autumn,5148
45,2024,182240,Nov,Autumn,4491
46,2024,174640,Nov,Winter,4255
47,2024,167380,Nov,Winter,3964
48,2024,159240,Dec,Winter,3777
49,2024,155640,Dec,Winter,4248
50,2024,152380,Dec,Winter,4048
51,2024,150240,Dec,Winter,3670
52,2024,148640,Dec,Winter,3631
1,2025,132240,Jan,Winter,3433
2,2025,131540,Jan,Winter,3529
3,2025,138380,Jan,Winter,3592
4,2025,144640,Jan,Winter,3658
5,2025,149380,Feb,Winter,3761
6,2025,148240,Feb,Winter,3712
7,2025,157640,Feb,Winter,4487
8,2025,152380,Feb,Winter,3976
9,2025,166240,Mar,Spring,4332
10,2025,175640,Mar,Spring,4726
11,2025,186380,Mar,Spring,6029
12,2025,191240,Mar,Spring,5086
13,2025,199640,Apr,Spring,5342
14,2025,210380,Apr,Spring,5385
15,2025,221240,Apr,Spring,6210
16,2025,230640,Apr,Spring,5833
17,2025,239380,May,Spring,5496
18,2025,248240,May,Spring,5847
19,2025,256640,May,Spring,5622
20,2025,265380,May,Spring,5827
21,2025,272240,Jun,Summer,5759
22,2025,279640,Jun,Summer,6149
23,2025,287380,Jun,Summer,6296
24,2025,293240,Jun,Summer,6658
25,2025,298640,Jun,Summer,6829
26,2025,302380,Jun,Summer,7098
27,2025,308240,Jul,Summer,7154
28,2025,314640,Jul,Summer,7315
29,2025,320380,Jul,Summer,7553
30,2025,324240,Jul,Summer,7423
31,2025,328640,Jul,Summer,7437
32,2025,327380,Aug,Summer,7245
33,2025,322240,Aug,Summer,7599
34,2025,316640,Aug,Summer,7516
35,2025,308380,Aug,Summer,7289
36,2025,296240,Sep,Autumn,6427
37,2025,283640,Sep,Autumn,6228
38,2025,270380,Sep,Autumn,6061
39,2025,258240,Sep,Autumn,5982
40,2025,245640,Oct,Autumn,5381
41,2025,234380,Oct,Autumn,5192
42,2025,223240,Oct,Autumn,5850
43,2025,212640,Oct,Autumn,5673
44,2025,202380,Nov,Autumn,4191
45,2025,192240,Nov,Autumn,3942
46,2025,183640,Nov,Winter,4023
47,2025,175380,Nov,Winter,4192
48,2025,166240,Dec,Winter,4481
49,2025,161640,Dec,Winter,4752
50,2025,157380,Dec,Winter,6490
51,2025,155240,Dec,Winter,6482
52,2025,153640,Dec,Winter,4556
