Week_In_Year,dep,arr,total,seasonal_index,week_start_2025,week_start_2026,month_2026,fc_flat,fc_mod,fc_strong,avg_occ,gate_util,demand_norm,gate_norm,compound_risk,risk_band,month_label
40.0,2677.0,2704.0,5381.0,0.9612031356275721,2025-10-06,2026-10-05,Oct,5381.0,5650.0,5919.0,6.314615384615385,37.1447963800905,0.4675948151704273,0.45790227598281075,46.3,High,Oct
41.0,2590.0,2602.0,5192.0,0.9274422375354682,2025-10-13,2026-10-12,Oct,5192.0,5452.0,5711.0,6.323076923076923,37.19457013574661,0.42222755640902543,0.4596530319910872,44.1,Moderate,Oct
42.0,2878.0,2972.0,5850.0,1.0449801790413114,2025-10-20,2026-10-19,Oct,5850.0,6142.0,6435.0,6.926923076923077,40.74660633484163,0.5801728276524244,0.5845933471271687,58.2,High,Oct
43.0,2793.0,2880.0,5673.0,1.0133628300344204,2025-10-27,2026-10-26,Oct,5673.0,5957.0,6240.0,6.7446153846153845,39.67420814479638,0.5376860297647623,0.5468725131306702,54.2,High,Oct
44.0,2085.0,2106.0,4191.0,0.7486345180106215,2025-11-03,2026-11-02,Nov,4191.0,4401.0,4610.0,4.955384615384616,29.149321266968325,0.18194911185789725,0.17666719719879032,17.9,Low,Nov
45.0,1965.0,1977.0,3942.0,0.704155874492453,2025-11-10,2026-11-09,Nov,3942.0,4139.0,4336.0,4.737692307692307,27.868778280542983,0.12217954872779645,0.13162501989495445,12.7,Low,Nov
46.0,1997.0,2026.0,4023.0,0.7186248308176403,2025-11-17,2026-11-16,Nov,4023.0,4224.0,4425.0,4.771538461538461,28.067873303167417,0.14162265962554008,0.13862804392805964,14.0,Low,Nov
47.0,2063.0,2129.0,4192.0,0.748813147101056,2025-11-24,2026-11-23,Nov,4192.0,4402.0,4611.0,5.01076923076923,29.47511312217194,0.18218915026404225,0.18812669107114413,18.5,Low,Nov
48.0,2241.0,2240.0,4481.0,0.8004369542366011,2025-12-01,2026-11-30,Nov,4481.0,4705.0,4929.0,5.295384615384616,31.14932126696833,0.2515602496399424,0.24701575680407456,24.9,Low,Nov
49.0,2380.0,2372.0,4752.0,0.8488454377443269,2025-12-08,2026-12-07,Dec,4752.0,4990.0,5227.0,5.63,33.11764705882353,0.31661065770523283,0.31625019894954637,31.6,Moderate,Dec
50.0,3252.0,3238.0,6490.0,1.1593027969193352,2025-12-15,2026-12-14,Dec,6490.0,6814.0,7139.0,7.793846153846154,45.84615384615385,0.7337974075852136,0.7639662581569315,74.9,Critical,Dec
51.0,3259.0,3223.0,6482.0,1.1578737641958599,2025-12-22,2026-12-21,Dec,6482.0,6806.0,7130.0,7.7530769230769225,45.60633484162896,0.7318771003360538,0.755530797389782,74.4,Critical,Dec
52.0,2265.0,2291.0,4556.0,0.813834136019182,2025-12-29,2026-12-28,Dec,4556.0,4784.0,5012.0,5.373076923076923,31.606334841628957,0.2695631301008161,0.26309088015279314,26.6,Moderate,Dec
