date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,tail_reg_updated,match_strategy,matched_dep_flight,matched_dep_tail,matched_turnaround_min,icao_cat,cbp_flag,gate
31-Mar-26,08:45,DL176,Atlanta�(ATL),ATL,Delta Air Lines,B764,N839MH,N839MH,exact_tail_25min_5hr,DL177,N839MH,135,D,TRUE,
31-Mar-26,08:50,EI106,New York�(JFK),JFK,Aer Lingus,A21N,EI-XLW,EI-LRA,airline+aircraft+time,EI117,EI-LRA,225,C,TRUE,
31-Mar-26,08:50,EA3401,Donegal�(CFN),CFN,Aer Lingus Regional,AT76,EI-GZV,EI-GZV,exact_tail_25min_5hr,EA3554,EI-GZV,35,B,FALSE,
31-Mar-26,08:55,EI118,Washington�(IAD),IAD,Aer Lingus,A21N,EI-LRD,EI-LRC,airline+aircraft+time,EI101,EI-LRC,265,C,TRUE,
31-Mar-26,08:55,AY1381,Helsinki�(HEL),HEL,Finnair,E190,OH-LKI,OH-LKI,exact_tail_25min_5hr,AY1382,OH-LKI,45,C,FALSE,
31-Mar-26,08:55,FR447,Liverpool�(LPL),LPL,Ryanair,B738,EI-GSK,EI-GSK,exact_tail_25min_5hr,FR446,EI-GSK,25,C,FALSE,
31-Mar-26,09:00,EI151,London�(LHR),LHR,Aer Lingus,A20N,EI-NSE,EI-NSE,exact_tail_25min_5hr,EI158,EI-NSE,40,C,FALSE,
31-Mar-26,09:05,IB1881,Madrid�(MAD),MAD,Iberia Express,A320,EC-LVQ,EC-LVQ,exact_tail_25min_5hr,IB1882,EC-LVQ,45,C,FALSE,
31-Mar-26,09:10,FR6186,Palma de Mallorca�(PMI),PMI,Lauda Europe,A320,9H-LMC,9H-LMC,exact_tail_25min_5hr,FR6187,9H-LMC,25,C,FALSE,
31-Mar-26,09:15,DL44,New York�(JFK),JFK,Delta Air Lines,B763,N178DZ,N178DZ,exact_tail_5min_8hr,DL155,N178DZ,345,D,TRUE,
31-Mar-26,09:15,EI203,Manchester�(MAN),MAN,Aer Lingus,A320,EI-DEJ,EI-DEJ,exact_tail_25min_5hr,EI504,EI-DEJ,40,C,FALSE,
31-Mar-26,09:15,FR7389,Lisbon�(LIS),LIS,Ryanair,B38M,EI-IKK,EI-IKK,exact_tail_25min_5hr,FR7390,EI-IKK,35,C,FALSE,
31-Mar-26,09:20,EI120,Orlando�(MCO),MCO,Aer Lingus,A333,EI-EIM,EI-EIM,exact_tail_25min_5hr,EI61,EI-EIM,220,E,TRUE,
31-Mar-26,09:20,EI263,Birmingham�(BHX),BHX,Aer Lingus,A320,EI-DEL,EI-DEL,exact_tail_25min_5hr,EI404,EI-DEL,70,C,FALSE,
31-Mar-26,09:20,FR275,Glasgow�(GLA),GLA,Ryanair,B738,9H-QAD,9H-QAD,exact_tail_25min_5hr,FR1111,9H-QAD,25,C,FALSE,
31-Mar-26,09:20,VY8720,Barcelona�(BCN),BCN,Vueling,A320,EC-MJC,EC-MJC,exact_tail_25min_5hr,VY8721,EC-MJC,40,C,FALSE,
31-Mar-26,09:25,FR505,Bristol�(BRS),BRS,Ryanair,B738,9H-QCT,9H-QCT,exact_tail_25min_5hr,FR1116,9H-QCT,35,C,FALSE,
31-Mar-26,09:35,AA724,Charlotte�(CLT),CLT,American Airlines,B772,N756AM,N756AM,exact_tail_25min_5hr,AA725,N756AM,130,E,TRUE,
31-Mar-26,09:35,FR157,Leeds�(LBA),LBA,Ryanair,B38M,EI-IFV,EI-IFV,exact_tail_25min_5hr,FR156,EI-IFV,25,C,FALSE,
31-Mar-26,09:35,FR661,Birmingham�(BHX),BHX,Ryanair,B38M,EI-IFS,EI-IFS,exact_tail_25min_5hr,FR1023,EI-IFS,25,C,FALSE,
31-Mar-26,09:35,TK1975,Istanbul�(IST),IST,Turkish Airlines,A21N,TC-LTD,TC-LTD,exact_tail_25min_5hr,TK1976,TC-LTD,65,C,FALSE,
31-Mar-26,09:40,BA826,London�(LHR),LHR,British Airways,A320,G-EUYJ,G-EUYJ,exact_tail_25min_5hr,BA827,G-EUYJ,50,C,FALSE,
31-Mar-26,09:40,EI3281,Bristol�(BRS),BRS,Aer Lingus Regional,AT76,EI-HPK,EI-HPK,exact_tail_25min_5hr,EA3222,EI-HPK,40,B,FALSE,
31-Mar-26,09:45,AA132,Dallas�(DFW),DFW,American Airlines,B788,N874AN,N874AN,exact_tail_25min_5hr,AA723,N874AN,175,E,TRUE,
31-Mar-26,09:45,UA980,Chicago�(ORD),ORD,United Airlines,B788,N20904,N20904,exact_tail_25min_5hr,UA981,N20904,110,E,TRUE,
31-Mar-26,09:50,EI401,Rome�(FCO),FCO,Aer Lingus,320,,EI-FNG,,EI105,EI-FNG,80,C,FALSE,
31-Mar-26,09:50,EA3251,Edinburgh�(EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,EI-GPN,exact_tail_25min_5hr,EA3252,EI-GPN,30,B,FALSE,
31-Mar-26,09:50,EA3391,Leeds�(LBA),LBA,Aer Lingus Regional,AT76,EI-FAT,EI-FAT,exact_tail_25min_5hr,,EI-FAT,30,B,FALSE,
31-Mar-26,09:50,FR31,London�(STN),STN,Ryanair,B738,EI-EKI,EI-EKI,exact_tail_25min_5hr,FR7354,EI-EKI,60,C,FALSE,
31-Mar-26,09:55,LH2516,Munich�(MUC),MUC,Lufthansa,A21N,D-AIEJ,D-AIEJ,exact_tail_25min_5hr,LH2517,D-AIEJ,45,C,FALSE,
31-Mar-26,10:00,WS34,Toronto�(YYZ),YYZ,WestJet,B38M,C-GCAM,C-GCAM,exact_tail_25min_5hr,WS35,C-GCAM,90,C,FALSE,
31-Mar-26,10:00,EA3351,Newcastle�(NCL),NCL,Aer Lingus Regional,AT76,EI-HPJ,EI-HPJ,exact_tail_25min_5hr,,EI-HPJ,30,B,FALSE,
31-Mar-26,10:00,EY45,Abu Dhabi�(AUH),AUH,Etihad Airways,B789,A6-BNA,A6-BNA,,,,,E,FALSE,
31-Mar-26,10:00,FR1949,Luxembourg�(LUX),LUX,Ryanair,B738,EI-GXK,EI-GXK,exact_tail_25min_5hr,FR662,EI-GXK,25,C,FALSE,
31-Mar-26,10:10,FR535,Nottingham�(EMA),EMA,Ryanair,B738,9H-QBJ,9H-QBJ,exact_tail_25min_5hr,FR202,9H-QBJ,80,C,FALSE,
31-Mar-26,10:12,EG981,Manchester�(MAN),MAN,Aer Lingus,A333,G-EILA,EI-EDY,airline+aircraft+time,EI123,EI-EDY,83,E,FALSE,
31-Mar-26,10:15,EI153,London�(LHR),LHR,Aer Lingus,A20N,EI-NSG,EI-NSG,exact_tail_25min_5hr,EI162,EI-NSG,55,C,FALSE,
31-Mar-26,10:15,FR113,London�(LGW),LGW,Ryanair,B738,9H-QDI,9H-QDI,exact_tail_25min_5hr,FR1454,9H-QDI,35,C,FALSE,
31-Mar-26,10:15,,Geneva�(GVA),GVA,NetJets,C68A,CS-LUD,CS-LUD,exact_tail_25min_5hr,,CS-LUD,255,C,FALSE,
31-Mar-26,10:20,EA3321,Manchester�(MAN),MAN,Aer Lingus Regional,AT76,EI-GPO,EI-GPO,exact_tail_25min_5hr,,EI-GPO,60,B,FALSE,
31-Mar-26,10:25,FR555,Manchester�(MAN),MAN,Ryanair,B38M,EI-HEZ,EI-HEZ,exact_tail_5min_8hr,FR534,EI-HEZ,10,C,FALSE,
31-Mar-26,10:25,FR1983,Biarritz�(BIQ),BIQ,Ryanair,B738,EI-EVJ,EI-EVJ,exact_tail_25min_5hr,FR337,EI-EVJ,65,C,FALSE,
31-Mar-26,10:25,KL1137,Amsterdam�(AMS),AMS,KLM,B738,PH-BXA,PH-BXA,exact_tail_25min_5hr,KL1138,PH-BXA,45,C,FALSE,
31-Mar-26,10:35,EI124,Chicago�(ORD),ORD,Aer Lingus,A333,EI-DUZ,EI-DUZ,exact_tail_25min_5hr,EI127,EI-DUZ,165,E,TRUE,
31-Mar-26,10:35,BA4462,London�(LCY),LCY,British Airways,E190,G-LCYP,G-LCYP,exact_tail_25min_5hr,BA4465,G-LCYP,40,C,FALSE,
31-Mar-26,10:40,UA228,Washington�(IAD),IAD,United Airlines,B752,N19117,N19117,exact_tail_25min_5hr,UA229,N19117,110,D,TRUE,
31-Mar-26,10:45,DL154,Boston�(BOS),BOS,Delta Air Lines,B763,N173DZ,N173DZ,exact_tail_25min_5hr,DL45,N173DZ,150,D,TRUE,
31-Mar-26,10:45,FR658,Brussels�(BRU),BRU,Ryanair,B38M,EI-IHN,EI-IHN,exact_tail_25min_5hr,FR116,EI-IHN,25,C,FALSE,
31-Mar-26,10:55,EA3551,Edinburgh�(EDI),EDI,Aer Lingus Regional,AT76,EI-HNA,EI-HNA,exact_tail_25min_5hr,EI3254,EI-HNA,45,B,FALSE,
31-Mar-26,10:55,FR421,Amsterdam�(AMS),AMS,Ryanair,B738,9H-QEK,9H-QEK,exact_tail_25min_5hr,FR4266,9H-QEK,55,C,FALSE,
31-Mar-26,10:55,FR7033,Faro�(FAO),FAO,Ryanair,B738,9H-QDL,9H-QDL,exact_tail_25min_5hr,FR7032,9H-QDL,65,C,FALSE,
31-Mar-26,10:55,SK535,Stockholm�(ARN),ARN,SAS,A20N,SE-ROE,SE-ROE,exact_tail_25min_5hr,SK536,SE-ROE,45,C,FALSE,
31-Mar-26,11:00,EA3301,Southampton�(SOU),SOU,Aer Lingus Regional,AT76,EI-HDK,EI-HDK,exact_tail_25min_5hr,EA3226,EI-HDK,30,B,FALSE,
31-Mar-26,11:00,FR331,London�(LTN),LTN,Ryanair,B738,EI-EBY,EI-EBY,exact_tail_25min_5hr,FR7240,EI-EBY,25,C,FALSE,
31-Mar-26,11:00,GR686,Guernsey�(GCI),GCI,Aurigny,AT76,G-OGFC,G-OGFC,exact_tail_25min_5hr,GR687,G-OGFC,40,B,FALSE,
31-Mar-26,11:05,EI631,Brussels�(BRU),BRU,Aer Lingus,A320,EI-GAL,EI-GAL,exact_tail_25min_5hr,EI544,EI-GAL,40,C,FALSE,
31-Mar-26,11:05,EW9394,Dusseldorf�(DUS),DUS,Eurowings,A321,D-AIDO,D-AIDO,exact_tail_25min_5hr,EW9395,D-AIDO,50,C,FALSE,
31-Mar-26,11:05,FR115,London�(LGW),LGW,Ryanair,B738,EI-DPP,EI-DPP,exact_tail_25min_5hr,FR3006,EI-DPP,45,C,FALSE,
31-Mar-26,11:10,UA317,New York�(EWR),EWR,United Airlines,B752,N14115,N14115,exact_tail_25min_5hr,UA316,N14115,145,D,TRUE,
31-Mar-26,11:10,FR3619,Turin�(TRN),TRN,Ryanair,B738,SP-RKH,SP-RKH,exact_tail_25min_5hr,FR7062,SP-RKH,55,C,FALSE,
31-Mar-26,11:15,EI521,Paris�(CDG),CDG,Aer Lingus,A21N,EI-LRF,EI-LRF,exact_tail_25min_5hr,EI552,EI-LRF,95,C,FALSE,
31-Mar-26,11:15,FR4845,Milan�(BGY),BGY,Ryanair,B38M,9H-VVJ,9H-VVJ,exact_tail_25min_5hr,FR436,9H-VVJ,25,C,FALSE,
31-Mar-26,11:20,EI155,London�(LHR),LHR,Aer Lingus,A320,EI-FNJ,EI-FNJ,exact_tail_25min_5hr,EI164,EI-FNJ,40,C,FALSE,
31-Mar-26,11:20,FR612,Kerry�(KIR),KIR,Ryanair,B738,EI-GJT,EI-GJT,exact_tail_25min_5hr,FR1974,EI-GJT,45,C,FALSE,
31-Mar-26,11:25,EI693,Dusseldorf�(DUS),DUS,Aer Lingus,A320,EI-DEM,EI-DEM,exact_tail_25min_5hr,EI514,EI-DEM,55,C,FALSE,
31-Mar-26,11:30,EI681,Geneva�(GVA),GVA,Aer Lingus,A20N,EI-NSH,EI-NSH,exact_tail_25min_5hr,EI160,EI-NSH,60,C,FALSE,
31-Mar-26,11:30,XQ532,Antalya�(AYT),AYT,SunExpress (Crystal Palace Livery),B38M,TC-SMF,TC-SMF,exact_tail_25min_5hr,XQ533,TC-SMF,60,C,FALSE,
31-Mar-26,11:40,EI108,New York�(JFK),JFK,Aer Lingus,A21N,EI-XLV,EI-XLV,exact_tail_25min_5hr,EI147,EI-XLV,130,C,TRUE,
31-Mar-26,11:40,LH978,Frankfurt�(FRA),FRA,Lufthansa,A20N,D-AIJD,D-AIJD,exact_tail_25min_5hr,LH979,D-AIJD,45,C,FALSE,
31-Mar-26,11:45,EI60,San Francisco�(SFO),SFO,Aer Lingus,A333,EI-EIN,EI-EIN,exact_tail_25min_5hr,EI137,EI-EIN,300,E,TRUE,
31-Mar-26,11:50,SK537,Copenhagen�(CPH),CPH,SAS,A20N,EI-SIB,EI-SIB,exact_tail_25min_5hr,SK538,EI-SIB,50,C,FALSE,
31-Mar-26,12:00,BA828,London�(LHR),LHR,British Airways,A21N,G-TNEE,G-TNEE,exact_tail_25min_5hr,BA829,G-TNEE,50,C,FALSE,
31-Mar-26,12:00,FR4284,Marseille�(MRS),MRS,Ryanair,B738,SP-RSQ,SP-RSQ,exact_tail_25min_5hr,FR9177,SP-RSQ,75,C,FALSE,
31-Mar-26,12:05,EI142,Cancun�(CUN),CUN,Aer Lingus,A333,EI-FNH,EI-FNH,exact_tail_25min_5hr,EI121,EI-FNH,120,E,FALSE,
31-Mar-26,12:05,EI333,Berlin�(BER),BER,Aer Lingus,A320,EI-GAM,EI-GAM,exact_tail_25min_5hr,EI208,EI-GAM,40,C,FALSE,
31-Mar-26,12:05,FR1739,Valencia�(VLC),VLC,Ryanair,B738,EI-EGD,EI-EGD,exact_tail_25min_5hr,FR1740,EI-EGD,25,C,FALSE,
31-Mar-26,12:05,WF372,Bergen�(BGO),BGO,Wideroe,E290,LN-WEB,LN-WEB,exact_tail_25min_5hr,WF373,LN-WEB,45,C,FALSE,
31-Mar-26,12:10,EI651,Frankfurt�(FRA),FRA,Aer Lingus,A320,EI-DEI,EI-DEI,,,,,C,FALSE,
31-Mar-26,12:10,LX400,Zurich�(ZRH),ZRH,Swiss,BCS3,HB-JCJ,HB-JCJ,exact_tail_25min_5hr,LX401,HB-JCJ,50,C,FALSE,
31-Mar-26,12:15,EI52,Seattle�(SEA),SEA,Aer Lingus,A332,EI-DUO,EI-DUO,exact_tail_25min_5hr,EI51,EI-DUO,155,E,TRUE,
31-Mar-26,12:15,FR6920,Barcelona�(BCN),BCN,Ryanair,B738,SP-RKV,SP-RKV,exact_tail_25min_5hr,FR9776,SP-RKV,60,C,FALSE,
31-Mar-26,12:16,,Glasgow�(GLA),GLA,NetJets,C56X,G-NJAK,G-NJAK,exact_tail_25min_5hr,,G-NJAK,109,C,FALSE,
31-Mar-26,12:20,EI593,Madrid�(MAD),MAD,Aer Lingus,A320,EI-DVG,EI-DVG,exact_tail_25min_5hr,EI584,EI-DVG,50,C,FALSE,
31-Mar-26,12:20,EW2774,Stuttgart�(STR),STR,Eurowings,A319,D-AGWV,D-AGWV,exact_tail_25min_5hr,EW2775,D-AGWV,40,C,FALSE,
31-Mar-26,12:20,FR7137,Lisbon�(LIS),LIS,Ryanair,B38M,9H-VVL,9H-VVL,exact_tail_25min_5hr,FR152,9H-VVL,45,C,FALSE,
31-Mar-26,12:20,EK161,Dubai�(DXB),DXB,Emirates,B77W,A6-ENV,A6-ENV,exact_tail_25min_5hr,EK162,A6-ENV,120,C,FALSE,
31-Mar-26,12:25,EA3555,Edinburgh�(EDI),EDI,Aer Lingus Regional,AT76,EI-GZV,EI-GZV,exact_tail_25min_5hr,EI3330,EI-GZV,100,B,FALSE,
31-Mar-26,12:25,FR3955,Nice�(NCE),NCE,Ryanair,B38M,9H-VUZ,9H-VUZ,exact_tail_25min_5hr,FR1986,9H-VUZ,115,C,FALSE,
31-Mar-26,12:30,FR817,Edinburgh�(EDI),EDI,Ryanair,B38M,EI-ILH,EI-ILH,exact_tail_25min_5hr,FR816,EI-ILH,25,C,FALSE,
31-Mar-26,12:30,FR1924,Warsaw�(WMI),WMI,Ryanair,B38M,EI-IJD,EI-IJD,exact_tail_25min_5hr,FR8130,EI-IJD,50,C,FALSE,
31-Mar-26,12:35,FR438,Reus�(REU),REU,Ryanair,B738,SP-RKD,SP-RKD,exact_tail_25min_5hr,FR506,SP-RKD,25,C,FALSE,
31-Mar-26,12:35,FR9457,Bologna�(BLQ),BLQ,Ryanair,B738,9H-QCX,9H-QCX,exact_tail_25min_5hr,FR9456,9H-QCX,25,C,FALSE,
31-Mar-26,12:40,KL1139,Amsterdam�(AMS),AMS,KLM,E295,PH-NXW,PH-NXW,exact_tail_25min_5hr,KL1140,PH-NXW,45,C,FALSE,
31-Mar-26,12:45,EI205,Manchester�(MAN),MAN,Aer Lingus,A21N,EI-LRE,EI-LRE,exact_tail_25min_5hr,EI107,EI-LRE,240,C,FALSE,
31-Mar-26,12:50,EI343,Zurich�(ZRH),ZRH,Aer Lingus,A320,EI-EDS,EI-EDS,exact_tail_25min_5hr,EI526,EI-EDS,40,C,FALSE,
31-Mar-26,12:50,EI563,Barcelona�(BCN),BCN,Aer Lingus,A20N,EI-NSD,EI-NSD,exact_tail_25min_5hr,EI166,EI-NSD,40,C,FALSE,
31-Mar-26,12:55,EI433,Milan�(LIN),LIN,Aer Lingus,A320,EI-DEP,EI-DEP,exact_tail_25min_5hr,EI608,EI-DEP,40,C,FALSE,
31-Mar-26,12:55,FR287,London�(STN),STN,Ryanair,B738,SP-RKW,SP-RKW,exact_tail_25min_5hr,FR288,SP-RKW,25,C,FALSE,
31-Mar-26,13:00,FR25,Paris�(BVA),BVA,Ryanair,B38M,EI-IJZ,EI-IJZ,exact_tail_25min_5hr,FR24,EI-IJZ,25,C,FALSE,
31-Mar-26,13:00,PC1157,Istanbul�(SAW),SAW,Pegasus,A20N,TC-NBA,TC-NBA,exact_tail_25min_5hr,PC1158,TC-NBA,65,C,FALSE,
31-Mar-26,13:05,EI353,Munich�(MUC),MUC,Aer Lingus,A320,EI-DVH,EI-DVH,exact_tail_25min_5hr,EI748,EI-DVH,75,C,FALSE,
31-Mar-26,13:05,FR663,Birmingham�(BHX),BHX,Ryanair,B738,EI-GXK,EI-GXK,exact_tail_25min_5hr,FR1992,EI-GXK,55,C,FALSE,
31-Mar-26,13:15,EA3223,Glasgow�(GLA),GLA,Aer Lingus Regional,AT76,EI-HPK,EI-HPK,exact_tail_25min_5hr,EA3216,EI-HPK,155,B,FALSE,
31-Mar-26,13:15,EI3323,Manchester�(MAN),MAN,Aer Lingus Regional,AT76,EI-FAT,EI-FAT,exact_tail_25min_5hr,EI3256,EI-FAT,30,B,FALSE,
31-Mar-26,13:15,FI418,Reykjavik�(KEF),KEF,Icelandair,B39M,TF-ICA,TF-ICA,exact_tail_25min_5hr,FI419,TF-ICA,60,C,FALSE,
31-Mar-26,13:20,FR1112,London�(LGW),LGW,Ryanair,B738,9H-QAD,9H-QAD,exact_tail_25min_5hr,FR5131,9H-QAD,60,C,FALSE,
31-Mar-26,13:20,MS775,Cairo�(CAI),CAI,Egyptair (90 Years Sticker),A20N,SU-GFO,SU-GFO,exact_tail_25min_5hr,MS776,SU-GFO,60,C,FALSE,
31-Mar-26,13:22,,Cork�(ORK),ORK,Aer Lingus,A320,EI-DVN,EI-DVN,exact_tail_25min_5hr,EI708,EI-DVN,53,C,FALSE,
31-Mar-26,13:25,EI643,Prague�(PRG),PRG,Aer Lingus,A320,EI-DES,EI-DES,exact_tail_25min_5hr,EI464,EI-DES,55,C,FALSE,
31-Mar-26,13:30,EI159,London�(LHR),LHR,Aer Lingus,A20N,EI-NSE,EI-NSE,exact_tail_25min_5hr,EI168,EI-NSE,60,C,FALSE,
31-Mar-26,13:30,FR5569,Rome�(FCO),FCO,Ryanair,B38M,EI-IFW,EI-IFW,exact_tail_25min_5hr,FR7124,EI-IFW,115,C,FALSE,
31-Mar-26,13:35,EI403,Rome�(FCO),FCO,Aer Lingus,A320,EI-DEH,EI-DEH,,,,,C,FALSE,
31-Mar-26,13:35,FR7045,Malaga�(AGP),AGP,Ryanair,B738,SP-RKM,SP-RKM,exact_tail_25min_5hr,FR340,SP-RKM,55,C,FALSE,
31-Mar-26,13:40,EI661,Vienna�(VIE),VIE,Aer Lingus,A320,EI-DVL,EI-DVL,exact_tail_25min_5hr,EI782,EI-DVL,80,C,FALSE,
31-Mar-26,13:40,EI3253,Edinburgh�(EDI),EDI,Aer Lingus Regional,AT76,EI-GPN,EI-GPN,exact_tail_25min_5hr,EA3286,EI-GPN,60,B,FALSE,
31-Mar-26,13:40,FR9588,Cluj-Napoca�(CLJ),CLJ,Ryanair,B38M,EI-IHC,EI-IHC,exact_tail_25min_5hr,FR5151,EI-IHC,60,C,FALSE,
31-Mar-26,13:45,EI3265,Birmingham�(BHX),BHX,Aer Lingus Regional,AT76,EI-HPJ,EI-HPJ,exact_tail_25min_5hr,EA3308,EI-HPJ,245,B,FALSE,
31-Mar-26,13:45,FR5195,Bucharest�(OTP),OTP,Ryanair,B38M,EI-HGP,EI-HGP,exact_tail_25min_5hr,FR884,EI-HGP,75,C,FALSE,
31-Mar-26,13:45,FR7031,Faro�(FAO),FAO,Ryanair,B738,SP-RNP,SP-RNP,exact_tail_25min_5hr,FR9611,SP-RNP,45,C,FALSE,
31-Mar-26,13:55,FR435,Liverpool�(LPL),LPL,Ryanair,B38M,9H-VVJ,9H-VVJ,exact_tail_25min_5hr,FR664,9H-VVJ,55,C,FALSE,
31-Mar-26,13:55,FR8936,Malta�(MLA),MLA,Ryanair,B38M,EI-HET,EI-HET,exact_tail_25min_5hr,FR3100,EI-HET,70,C,FALSE,
31-Mar-26,14:00,EI605,Amsterdam�(AMS),AMS,Aer Lingus,A21N,EI-XLU,EI-XLU,exact_tail_25min_5hr,EI87,EI-XLU,100,C,FALSE,
31-Mar-26,14:00,FR11,Madrid�(MAD),MAD,Ryanair,B38M,EI-HMZ,EI-HMZ,exact_tail_25min_5hr,FR7235,EI-HMZ,50,C,FALSE,
31-Mar-26,14:05,EI451,Naples�(NAP),NAP,Aer Lingus (Retro livery),A320,EI-DVM,EI-DVM,exact_tail_25min_5hr,EI764,EI-DVM,55,C,FALSE,
31-Mar-26,14:05,FR559,Manchester�(MAN),MAN,Ryanair,B738,EI-EMH,EI-EMH,exact_tail_25min_5hr,FR558,EI-EMH,25,C,FALSE,
31-Mar-26,14:10,EI423,Venice�(VCE),VCE,Aer Lingus,A320,EI-DVE,EI-DVE,exact_tail_25min_5hr,EI412,EI-DVE,40,C,FALSE,
31-Mar-26,14:10,EI525,Paris�(CDG),CDG,Aer Lingus,A21N,EI-LRG,EI-LRG,exact_tail_25min_5hr,EI119,EI-LRG,145,C,FALSE,
31-Mar-26,14:20,EA3267,Birmingham�(BHX),BHX,Aer Lingus Regional,AT76,EI-GPO,EI-GPO,exact_tail_25min_5hr,EA3242,EI-GPO,50,B,FALSE,
31-Mar-26,14:22,,Gran Canaria�(LPA),LPA,-,H25B,OY-JBJ,OY-JBJ,exact_tail_25min_5hr,,OY-JBJ,38,C,FALSE,
31-Mar-26,14:29,,Rome�(FCO),FCO,Aer Lingus,A320,EI-DER,EI-DER,exact_tail_25min_5hr,EI406,EI-DER,76,C,FALSE,
31-Mar-26,14:30,EI68,Los Angeles�(LAX),LAX,Aer Lingus,A333,EI-GAJ,EI-GAJ,,,,,E,TRUE,
31-Mar-26,14:30,BA830,London�(LHR),LHR,British Airways,A320,G-EUYC,G-EUYC,exact_tail_25min_5hr,BA831,G-EUYC,45,C,FALSE,
31-Mar-26,14:30,FR338,London�(LTN),LTN,Ryanair,B738,EI-EVJ,EI-EVJ,exact_tail_25min_5hr,FR8564,EI-EVJ,50,C,FALSE,
31-Mar-26,14:35,EA3227,Glasgow�(GLA),GLA,Aer Lingus Regional,AT76,EI-HDK,EI-HDK,exact_tail_25min_5hr,EA3930,EI-HDK,65,B,FALSE,
31-Mar-26,14:35,FR117,London�(LGW),LGW,Ryanair,B38M,EI-IHN,EI-IHN,exact_tail_25min_5hr,FR442,EI-IHN,50,C,FALSE,
31-Mar-26,14:35,FR203,London�(STN),STN,Ryanair,B38M,EI-HGW,EI-HGW,exact_tail_25min_5hr,FR7328,EI-HGW,90,C,FALSE,
31-Mar-26,14:40,EI505,Bordeaux�(BOD),BOD,Aer Lingus,A320,EI-DEJ,EI-DEJ,exact_tail_25min_5hr,EI798,EI-DEJ,60,C,FALSE,
31-Mar-26,14:40,EA3255,Edinburgh�(EDI),EDI,Aer Lingus Regional,AT76,EI-HNA,EI-HNA,exact_tail_25min_5hr,EA3326,EI-HNA,70,B,FALSE,
31-Mar-26,14:45,EI581,Malaga�(AGP),AGP,Aer Lingus,A333,EI-EIL,EI-EIL,exact_tail_25min_5hr,EI125,EI-EIL,120,E,FALSE,
31-Mar-26,14:45,EI493,Faro�(FAO),FAO,Aer Lingus,A320,EI-EDP,EI-EDP,exact_tail_25min_5hr,EI586,EI-EDP,85,C,FALSE,
31-Mar-26,14:45,FR5911,Lanzarote�(ACE),ACE,Ryanair,B38M,9H-VUQ,9H-VUQ,exact_tail_25min_5hr,FR118,9H-VUQ,40,C,FALSE,
31-Mar-26,14:50,EI163,London�(LHR),LHR,Aer Lingus,A20N,EI-NSG,EI-NSG,exact_tail_25min_5hr,EI172,EI-NSG,65,C,FALSE,
31-Mar-26,14:50,EI393,Hamburg�(HAM),HAM,Aer Lingus,A320,EI-DEI,EI-DEI,exact_tail_25min_5hr,EI528,EI-DEI,220,C,FALSE,
31-Mar-26,14:50,FR830,Venice�(VCE),VCE,Ryanair,B738,9H-QEW,9H-QEW,exact_tail_25min_5hr,FR831,9H-QEW,25,C,FALSE,
