stand_id,pier,terminal,icao_cat_max,has_airbridge,cbp_eligible,mars_type,mars_family_id,stand_type
317,3,Shared,E,True,False,Centre,FAM_P3_317,Contact
311C,3,Shared,E,True,False,Centre,FAM_P3_311,Contact
311L,3,Shared,C,True,False,Left,FAM_P3_311,Contact
311R,3,Shared,C,True,False,Right,FAM_P3_311,Contact
312C,3,Shared,E,True,False,Centre,FAM_P3_312,Contact
312L,3,Shared,C,True,False,Left,FAM_P3_312,Contact
312R,3,Shared,C,True,False,Right,FAM_P3_312,Contact
313C,3,Shared,E,True,False,Centre,FAM_P3_313,Contact
313L,3,Shared,C,True,False,Left,FAM_P3_313,Contact
313R,3,Shared,C,True,False,Right,FAM_P3_313,Contact
315C,3,Shared,E,True,False,Centre,FAM_P3_315,Contact
315L,3,Shared,C,True,False,Left,FAM_P3_315,Contact
315R,3,Shared,C,True,False,Right,FAM_P3_315,Contact
318C,3,Shared,E,True,False,Centre,FAM_P3_318,Contact
318L,3,Shared,C,True,False,Left,FAM_P3_318,Contact
318R,3,Shared,C,True,False,Right,FAM_P3_318,Contact
411,4,T2,C,True,False,None,,Contact
412,4,T2,C,True,False,None,,Contact
413,4,T2,C,True,False,None,,Contact
414,4,T2,C,True,False,None,,Contact
415,4,T2,C,True,False,None,,Contact
416,4,T2,C,True,False,None,,Contact
417,4,T2,C,True,False,None,,Contact
418,4,T2,C,True,False,None,,Contact
419,4,T2,C,True,False,None,,Contact
420,4,T2,C,True,False,None,,Contact
421,4,T2,C,True,False,None,,Contact
422,4,T2,C,True,False,None,,Contact
423,4,T2,C,True,False,None,,Contact
424,4,T2,C,True,False,None,,Contact
425,4,T2,C,True,False,None,,Contact
426,4,T2,C,True,False,None,,Contact
401C,4,T2,E,True,True,Centre,FAM_P4_401,Contact
401L,4,T2,C,True,True,Left,FAM_P4_401,Contact
401R,4,T2,C,True,False,Right,FAM_P4_401,Contact
402C,4,T2,E,True,True,Centre,FAM_P4_402,Contact
402L,4,T2,C,True,True,Left,FAM_P4_402,Contact
402R,4,T2,C,True,False,Right,FAM_P4_402,Contact
403C,4,T2,E,True,True,Centre,FAM_P4_403,Contact
403L,4,T2,C,True,True,Left,FAM_P4_403,Contact
403R,4,T2,C,True,False,Right,FAM_P4_403,Contact
404C,4,T2,E,True,False,Centre,FAM_P4_404,Contact
404L,4,T2,C,True,False,Left,FAM_P4_404,Contact
404R,4,T2,C,True,False,Right,FAM_P4_404,Contact
405C,4,T2,E,True,False,Centre,FAM_P4_405,Contact
405L,4,T2,C,True,False,Left,FAM_P4_405,Contact
405R,4,T2,C,True,False,Right,FAM_P4_405,Contact
407C,4,T2,E,True,True,Centre,FAM_P4_407,Contact
407L,4,T2,C,True,False,Left,FAM_P4_407,Contact
407R,4,T2,C,True,True,Right,FAM_P4_407,Contact
408C,4,T2,E,True,True,Centre,FAM_P4_408,Contact
408L,4,T2,C,True,False,Left,FAM_P4_408,Contact
408R,4,T2,C,True,True,Right,FAM_P4_408,Contact
409C,4,T2,E,True,True,Centre,FAM_P4_409,Contact
409L,4,T2,C,True,True,Left,FAM_P4_409,Contact
409R,4,T2,C,True,False,Right,FAM_P4_409,Contact
410C,4,T2,E,True,False,Centre,FAM_P4_410,Contact
410L,4,T2,C,True,False,Left,FAM_P4_410,Contact
410R,4,T2,C,True,False,Right,FAM_P4_410,Contact
406B,4,T2,E,True,True,Centre,FAM_P4_406,Contact
406C,4,T2,E,True,True,Centre,FAM_P4_406,Contact
130,Central,Remote,C,False,False,None,,Remote
132,Central,Remote,C,False,False,None,,Remote
134,Central,Remote,C,False,False,None,,Remote
136,Central,Remote,C,False,False,None,,Remote
138,Central,Remote,C,False,False,None,,Remote
139,Central,Remote,C,False,False,None,,Remote
140,Central,Remote,C,False,False,None,,Remote
141,Central,Remote,C,False,False,None,,Remote
142,Central,Remote,C,False,False,None,,Remote
143,Central,Remote,C,False,False,None,,Remote
144,Central,Remote,C,False,False,None,,Remote
145,Central,Remote,C,False,False,None,,Remote
146,Central,Remote,C,False,False,None,,Remote
147,Central,Remote,C,False,False,None,,Remote
148,Central,Remote,C,False,False,None,,Remote
149,Central,Remote,C,False,False,None,,Remote
150,Central,Remote,C,False,False,None,,Remote
151,Central,Remote,C,False,False,None,,Remote
152,Central,Remote,C,False,False,None,,Remote
153,Central,Remote,C,False,False,None,,Remote
154,Central,Remote,C,False,False,None,,Remote
155,Central,Remote,C,False,False,None,,Remote
156,Central,Remote,C,False,False,None,,Remote
157,Central,Remote,C,False,False,None,,Remote
158,Central,Remote,C,False,False,None,,Remote
159,Central,Remote,C,False,False,None,,Remote
160,Central,Remote,C,False,False,None,,Remote
161,Central,Remote,C,False,False,None,,Remote
162,Central,Remote,C,False,False,None,,Remote
163,Central,Remote,C,False,False,None,,Remote
164,Central,Remote,C,False,False,None,,Remote
165,Central,Remote,C,False,False,None,,Remote
166,Central,Remote,C,False,False,None,,Remote
167,Central,Remote,C,False,False,None,,Remote
168,Central,Remote,C,False,False,None,,Remote
169,Central,Remote,C,False,False,None,,Remote
170,Central,Remote,C,False,False,None,,Remote
171,Central,Remote,C,False,False,None,,Remote
172,Central,Remote,C,False,False,None,,Remote
173,Central,Remote,C,False,False,None,,Remote
131C,Central,Remote,E,False,False,Centre,FAM_CA_131,Remote
131L,Central,Remote,C,False,False,Left,FAM_CA_131,Remote
131R,Central,Remote,C,False,False,Right,FAM_CA_131,Remote
133C,Central,Remote,E,False,False,Centre,FAM_CA_133,Remote
133L,Central,Remote,C,False,False,Left,FAM_CA_133,Remote
133R,Central,Remote,C,False,False,Right,FAM_CA_133,Remote
135C,Central,Remote,E,False,False,Centre,FAM_CA_135,Remote
135L,Central,Remote,C,False,False,Left,FAM_CA_135,Remote
135R,Central,Remote,C,False,False,Right,FAM_CA_135,Remote
137C,Central,Remote,E,False,False,Centre,FAM_CA_137,Remote
137L,Central,Remote,C,False,False,Left,FAM_CA_137,Remote
137R,Central,Remote,C,False,False,Right,FAM_CA_137,Remote
50,North,Remote,D,False,False,None,,Remote
51,North,Remote,D,False,False,None,,Remote
52,North,Remote,D,False,False,None,,Remote
53,North,Remote,D,False,False,None,,Remote
HP1,North,Remote,D,False,False,None,,Remote
HP2,North,Remote,D,False,False,None,,Remote
HP3,North,Remote,D,False,False,None,,Remote
HP4,North,Remote,D,False,False,None,,Remote
TS1,North,Remote,D,False,False,None,,Remote
TS2,North,Remote,D,False,False,None,,Remote
TS3,North,Remote,D,False,False,None,,Remote
TS4,North,Remote,D,False,False,None,,Remote
600,West,Remote,E,False,False,None,,Remote
601,West,Remote,E,False,False,None,,Remote
602,West,Remote,E,False,False,None,,Remote
603,West,Remote,E,False,False,None,,Remote
604,West,Remote,E,False,False,None,,Remote
605,West,Remote,E,False,False,None,,Remote
606,West,Remote,E,False,False,None,,Remote
607,West,Remote,E,False,False,None,,Remote
608,West,Remote,E,False,False,None,,Remote
609,West,Remote,E,False,False,None,,Remote
610,West,Remote,E,False,False,None,,Remote
612,West,Remote,E,False,False,None,,Remote
614,West,Remote,E,False,False,None,,Remote
616,West,Remote,E,False,False,None,,Remote
618,West,Remote,E,False,False,None,,Remote
620,West,Remote,E,False,False,None,,Remote
622,West,Remote,E,False,False,None,,Remote
L1,West,Remote,E,False,False,None,,Remote
L2,West,Remote,E,False,False,None,,Remote
L3,West,Remote,E,False,False,None,,Remote
611C,West,Remote,E,False,False,Centre,FAM_WA_611,Remote
611L,West,Remote,C,False,False,Left,FAM_WA_611,Remote
611R,West,Remote,C,False,False,Right,FAM_WA_611,Remote
613C,West,Remote,E,False,False,Centre,FAM_WA_613,Remote
613L,West,Remote,C,False,False,Left,FAM_WA_613,Remote
613R,West,Remote,C,False,False,Right,FAM_WA_613,Remote
615C,West,Remote,E,False,False,Centre,FAM_WA_615,Remote
615L,West,Remote,C,False,False,Left,FAM_WA_615,Remote
615R,West,Remote,C,False,False,Right,FAM_WA_615,Remote
617C,West,Remote,E,False,False,Centre,FAM_WA_617,Remote
617L,West,Remote,C,False,False,Left,FAM_WA_617,Remote
617R,West,Remote,C,False,False,Right,FAM_WA_617,Remote
619C,West,Remote,E,False,False,Centre,FAM_WA_619,Remote
619L,West,Remote,C,False,False,Left,FAM_WA_619,Remote
619R,West,Remote,C,False,False,Right,FAM_WA_619,Remote
621C,West,Remote,E,False,False,Centre,FAM_WA_621,Remote
621L,West,Remote,C,False,False,Left,FAM_WA_621,Remote
621R,West,Remote,C,False,False,Right,FAM_WA_621,Remote
623C,West,Remote,E,False,False,Centre,FAM_WA_623,Remote
623L,West,Remote,C,False,False,Left,FAM_WA_623,Remote
623R,West,Remote,C,False,False,Right,FAM_WA_623,Remote
701,South,Cargo,E,False,False,None,,Cargo
702,South,Cargo,E,False,False,None,,Cargo
703,South,Cargo,E,False,False,None,,Cargo
704,South,Cargo,E,False,False,None,,Cargo
705,South,Cargo,E,False,False,None,,Cargo
706,South,Cargo,E,False,False,None,,Cargo
707,South,Cargo,E,False,False,None,,Cargo
708,South,Cargo,E,False,False,None,,Cargo
709,South,Cargo,E,False,False,None,,Cargo
710,South,Cargo,E,False,False,None,,Cargo
711,South,Cargo,E,False,False,None,,Cargo
