Season_Code,Week_In_Year,Week_Start,Gate_ID,Terminal,Pier,Weekly_Movements,Avg_Daily_Occupancy_Hrs,Headroom_Hrs,Primary_Traffic
W24,1,2025-01-06,322,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,1,2025-01-06,323,T2,Pier 3,44,3.8,13.2,Transatlantic CBP
W24,1,2025-01-06,401,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,1,2025-01-06,402,T2,Pier 4,36,6.1,10.9,Transatlantic CBP
W24,1,2025-01-06,403,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,404,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,405,T2,Pier 4,33,5.6,11.4,Transatlantic CBP
W24,1,2025-01-06,406,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,1,2025-01-06,407,T2,Pier 4,32,5.5,11.5,Transatlantic CBP
W24,1,2025-01-06,408,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,1,2025-01-06,409,T2,Pier 4,35,6,11,Transatlantic CBP
W24,1,2025-01-06,410,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,411,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,1,2025-01-06,412,T2,Pier 4,33,5.6,11.4,Transatlantic CBP
W24,1,2025-01-06,413,T2,Pier 4,33,5.6,11.4,Transatlantic CBP
W24,1,2025-01-06,414,T2,Pier 4,36,6.1,10.9,Transatlantic CBP
W24,1,2025-01-06,415,T2,Pier 4,35,6,11,Transatlantic CBP
W24,1,2025-01-06,416,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,1,2025-01-06,417,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,418,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,419,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,1,2025-01-06,420,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,421,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,1,2025-01-06,422,T2,Pier 4,36,6.2,10.8,Transatlantic CBP
W24,1,2025-01-06,423,T2,Pier 4,35,6,11,Transatlantic CBP
W24,1,2025-01-06,424,T2,Pier 4,33,5.6,11.4,Transatlantic CBP
W24,1,2025-01-06,425,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,1,2025-01-06,426,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,1,2025-01-06,501,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,1,2025-01-06,502,T2,Pier E,24,6.1,10.9,International Long-Haul
W24,1,2025-01-06,503,T2,Pier E,22,5.7,11.3,International Long-Haul
W24,1,2025-01-06,504,T2,Pier E,23,5.8,11.2,International Long-Haul
W24,1,2025-01-06,505,T2,Pier E,24,6.2,10.8,International Long-Haul
W24,1,2025-01-06,506,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,1,2025-01-06,507,T2,Pier E,23,6,11,International Long-Haul
W24,1,2025-01-06,508,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,1,2025-01-06,509,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,1,2025-01-06,510,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,1,2025-01-06,511,T2,Pier E,24,6.2,10.8,International Long-Haul
W24,1,2025-01-06,512,T2,Pier E,26,6.6,10.4,International Long-Haul
W24,1,2025-01-06,513,T2,Pier E,24,6.2,10.8,International Long-Haul
W24,1,2025-01-06,514,T2,Pier E,24,6.1,10.9,International Long-Haul
W24,1,2025-01-06,515,T2,Pier E,23,5.9,11.1,International Long-Haul
W24,1,2025-01-06,601,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,602,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,603,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,1,2025-01-06,604,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,605,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,606,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,1,2025-01-06,607,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,608,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,609,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,610,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,1,2025-01-06,611,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,612,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,1,2025-01-06,613,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,1,2025-01-06,614,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,1,2025-01-06,615,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,1,2025-01-06,616,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,1,2025-01-06,617,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,618,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,619,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,620,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,621,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,1,2025-01-06,701,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,702,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,703,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,704,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,705,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,706,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,707,T1,Remote South,4,1,16,Cargo
W24,1,2025-01-06,708,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,709,T1,Remote South,4,1,16,Cargo
W24,1,2025-01-06,710,T1,Remote South,4,1,16,Cargo
W24,1,2025-01-06,711,T1,Remote South,4,1.1,15.9,Cargo
W24,1,2025-01-06,712,T1,Remote South,4,1.2,15.8,Cargo
W24,2,2025-01-13,101,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,2,2025-01-13,102,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,2,2025-01-13,103,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,2,2025-01-13,104,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,2,2025-01-13,105,T1,Pier 1,70,5,12,International Short-Haul
W24,2,2025-01-13,106,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,2,2025-01-13,107,T1,Pier 1,67,4.8,12.2,International Short-Haul
W24,2,2025-01-13,108,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,2,2025-01-13,109,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,2,2025-01-13,110,T1,Pier 1,70,5,12,International Short-Haul
W24,2,2025-01-13,111,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,2,2025-01-13,112,T1,Pier 1,70,5,12,International Short-Haul
W24,2,2025-01-13,113,T1,Pier 1,74,5.3,11.7,International Short-Haul
W24,2,2025-01-13,114,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,2,2025-01-13,115,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,2,2025-01-13,116,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,2,2025-01-13,117,T1,Pier 1,74,5.3,11.7,International Short-Haul
W24,2,2025-01-13,118,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,2,2025-01-13,119,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,2,2025-01-13,201,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,2,2025-01-13,202,T1,Pier 2,56,4.4,12.6,International Short-Haul
W24,2,2025-01-13,203,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,2,2025-01-13,204,T1,Pier 2,55,4.3,12.7,International Short-Haul
W24,2,2025-01-13,205,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,2,2025-01-13,206,T1,Pier 2,51,4,13,International Short-Haul
W24,2,2025-01-13,207,T1,Pier 2,55,4.3,12.7,International Short-Haul
W24,2,2025-01-13,208,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,2,2025-01-13,209,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,2,2025-01-13,210,T1,Pier 2,51,4,13,International Short-Haul
W24,2,2025-01-13,211,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,2,2025-01-13,212,T1,Pier 2,55,4.3,12.7,International Short-Haul
W24,2,2025-01-13,213,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,2,2025-01-13,214,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,2,2025-01-13,301,T1,Pier 3,41,3.5,13.5,International Short-Haul
W24,2,2025-01-13,302,T1,Pier 3,47,4,13,International Short-Haul
W24,2,2025-01-13,303,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,2,2025-01-13,304,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,2,2025-01-13,305,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,2,2025-01-13,306,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,2,2025-01-13,307,T1,Pier 3,47,4,13,International Short-Haul
W24,2,2025-01-13,308,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,2,2025-01-13,309,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,2,2025-01-13,310,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,2,2025-01-13,311,T1,Pier 3,47,4,13,International Short-Haul
W24,2,2025-01-13,312,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,2,2025-01-13,313,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,2,2025-01-13,314,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,2,2025-01-13,315,T2,Pier 3,47,4,13,Transatlantic CBP
W24,2,2025-01-13,316,T2,Pier 3,46,3.9,13.1,Transatlantic CBP
W24,2,2025-01-13,317,T2,Pier 3,46,3.9,13.1,Transatlantic CBP
W24,2,2025-01-13,318,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,2,2025-01-13,319,T2,Pier 3,46,3.9,13.1,Transatlantic CBP
W24,2,2025-01-13,320,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,2,2025-01-13,321,T2,Pier 3,42,3.6,13.4,Transatlantic CBP
W24,2,2025-01-13,322,T2,Pier 3,44,3.8,13.2,Transatlantic CBP
W24,2,2025-01-13,323,T2,Pier 3,48,4.1,12.9,Transatlantic CBP
W24,2,2025-01-13,401,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,2,2025-01-13,402,T2,Pier 4,35,6,11,Transatlantic CBP
W24,2,2025-01-13,403,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,2,2025-01-13,404,T2,Pier 4,36,6.1,10.9,Transatlantic CBP
W24,2,2025-01-13,405,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,406,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,2,2025-01-13,407,T2,Pier 4,33,5.7,11.3,Transatlantic CBP
W24,2,2025-01-13,408,T2,Pier 4,38,6.6,10.4,Transatlantic CBP
W24,2,2025-01-13,409,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,2,2025-01-13,410,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,411,T2,Pier 4,36,6.2,10.8,Transatlantic CBP
W24,2,2025-01-13,412,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,413,T2,Pier 4,33,5.7,11.3,Transatlantic CBP
W24,2,2025-01-13,414,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,2,2025-01-13,415,T2,Pier 4,38,6.5,10.5,Transatlantic CBP
W24,2,2025-01-13,416,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,2,2025-01-13,417,T2,Pier 4,33,5.7,11.3,Transatlantic CBP
W24,2,2025-01-13,418,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,419,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,420,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,2,2025-01-13,421,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,422,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,2,2025-01-13,423,T2,Pier 4,36,6.1,10.9,Transatlantic CBP
W24,2,2025-01-13,424,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,2,2025-01-13,425,T2,Pier 4,35,6,11,Transatlantic CBP
W24,2,2025-01-13,426,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,2,2025-01-13,501,T2,Pier E,24,6.1,10.9,International Long-Haul
W24,2,2025-01-13,502,T2,Pier E,24,6.3,10.7,International Long-Haul
W24,2,2025-01-13,503,T2,Pier E,24,6.3,10.7,International Long-Haul
W24,2,2025-01-13,504,T2,Pier E,26,6.6,10.4,International Long-Haul
W24,2,2025-01-13,505,T2,Pier E,26,6.6,10.4,International Long-Haul
W24,2,2025-01-13,506,T2,Pier E,25,6.4,10.6,International Long-Haul
W24,2,2025-01-13,507,T2,Pier E,26,6.6,10.4,International Long-Haul
W24,2,2025-01-13,508,T2,Pier E,23,6,11,International Long-Haul
W24,2,2025-01-13,509,T2,Pier E,23,5.8,11.2,International Long-Haul
W24,2,2025-01-13,510,T2,Pier E,26,6.7,10.3,International Long-Haul
W24,2,2025-01-13,511,T2,Pier E,23,5.9,11.1,International Long-Haul
W24,2,2025-01-13,512,T2,Pier E,23,6,11,International Long-Haul
W24,2,2025-01-13,513,T2,Pier E,25,6.5,10.5,International Long-Haul
W24,2,2025-01-13,514,T2,Pier E,24,6.2,10.8,International Long-Haul
W24,2,2025-01-13,515,T2,Pier E,26,6.7,10.3,International Long-Haul
W24,2,2025-01-13,601,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,602,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,2,2025-01-13,603,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,604,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,605,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,606,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,607,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,2,2025-01-13,608,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,2,2025-01-13,609,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,610,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,611,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,612,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,2,2025-01-13,613,T1,Remote North,24,1.9,15.1,International Short-Haul
W24,2,2025-01-13,614,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,2,2025-01-13,615,T1,Remote North,23,1.8,15.2,International Short-Haul
W24,2,2025-01-13,616,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,617,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,2,2025-01-13,618,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,2,2025-01-13,619,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,620,T1,Remote North,22,1.7,15.3,International Short-Haul
W24,2,2025-01-13,621,T1,Remote North,20,1.6,15.4,International Short-Haul
W24,2,2025-01-13,701,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,702,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,703,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,704,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,705,T1,Remote South,4,1,16,Cargo
W24,2,2025-01-13,706,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,707,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,708,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,709,T1,Remote South,4,1,16,Cargo
W24,2,2025-01-13,710,T1,Remote South,4,1.1,15.9,Cargo
W24,2,2025-01-13,711,T1,Remote South,4,1,16,Cargo
W24,2,2025-01-13,712,T1,Remote South,4,1.1,15.9,Cargo
W24,3,2025-01-20,101,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,3,2025-01-20,102,T1,Pier 1,66,4.7,12.3,International Short-Haul
W24,3,2025-01-20,103,T1,Pier 1,70,5,12,International Short-Haul
W24,3,2025-01-20,104,T1,Pier 1,64,4.6,12.4,International Short-Haul
W24,3,2025-01-20,105,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,3,2025-01-20,106,T1,Pier 1,67,4.8,12.2,International Short-Haul
W24,3,2025-01-20,107,T1,Pier 1,70,5,12,International Short-Haul
W24,3,2025-01-20,108,T1,Pier 1,70,5,12,International Short-Haul
W24,3,2025-01-20,109,T1,Pier 1,74,5.3,11.7,International Short-Haul
W24,3,2025-01-20,110,T1,Pier 1,70,5,12,International Short-Haul
W24,3,2025-01-20,111,T1,Pier 1,71,5.1,11.9,International Short-Haul
W24,3,2025-01-20,112,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,3,2025-01-20,113,T1,Pier 1,76,5.4,11.6,International Short-Haul
W24,3,2025-01-20,114,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,3,2025-01-20,115,T1,Pier 1,67,4.8,12.2,International Short-Haul
W24,3,2025-01-20,116,T1,Pier 1,74,5.3,11.7,International Short-Haul
W24,3,2025-01-20,117,T1,Pier 1,69,4.9,12.1,International Short-Haul
W24,3,2025-01-20,118,T1,Pier 1,74,5.3,11.7,International Short-Haul
W24,3,2025-01-20,119,T1,Pier 1,73,5.2,11.8,International Short-Haul
W24,3,2025-01-20,201,T1,Pier 2,51,4,13,International Short-Haul
W24,3,2025-01-20,202,T1,Pier 2,56,4.4,12.6,International Short-Haul
W24,3,2025-01-20,203,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,3,2025-01-20,204,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,3,2025-01-20,205,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,3,2025-01-20,206,T1,Pier 2,56,4.4,12.6,International Short-Haul
W24,3,2025-01-20,207,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,3,2025-01-20,208,T1,Pier 2,50,3.9,13.1,International Short-Haul
W24,3,2025-01-20,209,T1,Pier 2,56,4.4,12.6,International Short-Haul
W24,3,2025-01-20,210,T1,Pier 2,51,4,13,International Short-Haul
W24,3,2025-01-20,211,T1,Pier 2,51,4,13,International Short-Haul
W24,3,2025-01-20,212,T1,Pier 2,52,4.1,12.9,International Short-Haul
W24,3,2025-01-20,213,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,3,2025-01-20,214,T1,Pier 2,53,4.2,12.8,International Short-Haul
W24,3,2025-01-20,301,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,3,2025-01-20,302,T1,Pier 3,48,4.1,12.9,International Short-Haul
W24,3,2025-01-20,303,T1,Pier 3,47,4,13,International Short-Haul
W24,3,2025-01-20,304,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,3,2025-01-20,305,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,3,2025-01-20,306,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,3,2025-01-20,307,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,3,2025-01-20,308,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,3,2025-01-20,309,T1,Pier 3,42,3.6,13.4,International Short-Haul
W24,3,2025-01-20,310,T1,Pier 3,48,4.1,12.9,International Short-Haul
W24,3,2025-01-20,311,T1,Pier 3,43,3.7,13.3,International Short-Haul
W24,3,2025-01-20,312,T1,Pier 3,44,3.8,13.2,International Short-Haul
W24,3,2025-01-20,313,T1,Pier 3,48,4.1,12.9,International Short-Haul
W24,3,2025-01-20,314,T1,Pier 3,46,3.9,13.1,International Short-Haul
W24,3,2025-01-20,315,T2,Pier 3,43,3.7,13.3,Transatlantic CBP
W24,3,2025-01-20,316,T2,Pier 3,46,3.9,13.1,Transatlantic CBP
W24,3,2025-01-20,317,T2,Pier 3,41,3.5,13.5,Transatlantic CBP
W24,3,2025-01-20,318,T2,Pier 3,47,4,13,Transatlantic CBP
W24,3,2025-01-20,319,T2,Pier 3,44,3.8,13.2,Transatlantic CBP
W24,3,2025-01-20,320,T2,Pier 3,47,4,13,Transatlantic CBP
W24,3,2025-01-20,321,T2,Pier 3,48,4.1,12.9,Transatlantic CBP
W24,3,2025-01-20,322,T2,Pier 3,48,4.1,12.9,Transatlantic CBP
W24,3,2025-01-20,323,T2,Pier 3,48,4.1,12.9,Transatlantic CBP
W24,3,2025-01-20,401,T2,Pier 4,36,6.2,10.8,Transatlantic CBP
W24,3,2025-01-20,402,T2,Pier 4,35,6,11,Transatlantic CBP
W24,3,2025-01-20,403,T2,Pier 4,36,6.1,10.9,Transatlantic CBP
W24,3,2025-01-20,404,T2,Pier 4,37,6.4,10.6,Transatlantic CBP
W24,3,2025-01-20,405,T2,Pier 4,38,6.6,10.4,Transatlantic CBP
W24,3,2025-01-20,406,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,3,2025-01-20,407,T2,Pier 4,38,6.6,10.4,Transatlantic CBP
W24,3,2025-01-20,408,T2,Pier 4,38,6.5,10.5,Transatlantic CBP
W24,3,2025-01-20,409,T2,Pier 4,39,6.7,10.3,Transatlantic CBP
W24,3,2025-01-20,410,T2,Pier 4,38,6.6,10.4,Transatlantic CBP
W24,3,2025-01-20,411,T2,Pier 4,35,6,11,Transatlantic CBP
W24,3,2025-01-20,412,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,3,2025-01-20,413,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,3,2025-01-20,414,T2,Pier 4,35,6,11,Transatlantic CBP
W24,3,2025-01-20,415,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,3,2025-01-20,416,T2,Pier 4,38,6.5,10.5,Transatlantic CBP
W24,3,2025-01-20,417,T2,Pier 4,38,6.6,10.4,Transatlantic CBP
W24,3,2025-01-20,418,T2,Pier 4,37,6.3,10.7,Transatlantic CBP
W24,3,2025-01-20,419,T2,Pier 4,33,5.7,11.3,Transatlantic CBP
W24,3,2025-01-20,420,T2,Pier 4,34,5.9,11.1,Transatlantic CBP
W24,3,2025-01-20,421,T2,Pier 4,34,5.8,11.2,Transatlantic CBP
W24,3,2025-01-20,422,T2,Pier 4,35,6,11,Transatlantic CBP
W24,3,2025-01-20,423,T2,Pier 4,36,6.2,10.8,Transatlantic CBP
W24,3,2025-01-20,424,T2,Pier 4,33,5.7,11.3,Transatlantic CBP
W24,3,2025-01-20,425,T2,Pier 4,35,6,11,Transatlantic CBP
