Season_Code,Week_In_Year,Week_Start,Terminal,Airline,Airline_Name,Flight_Category,Aircraft_Family,Weekly_Movements,Peak_Day_Movements,Avg_Load_Factor_Pct
W24,4,2025-01-27,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,57,10,78%
W24,4,2025-01-27,T2,BA,British Airways,International Short-Haul,A320,56,11,80%
W24,4,2025-01-27,T2,BA,British Airways,International Short-Haul,E-Jet,41,7,81%
W24,4,2025-01-27,T1,LH,Lufthansa,International Short-Haul,A320,33,6,79%
W24,4,2025-01-27,T1,AF,Air France,International Short-Haul,A320,30,5,80%
W24,4,2025-01-27,T1,KL,KLM,International Short-Haul,A320,32,6,82%
W24,4,2025-01-27,T1,IB,Iberia,International Short-Haul,A320,20,3,81%
W24,4,2025-01-27,T1,VY,Vueling,International Short-Haul,A320,18,3,79%
W24,4,2025-01-27,T1,OS,Austrian,International Short-Haul,A320,10,2,82%
W24,4,2025-01-27,T1,SK,SAS,International Short-Haul,A320,11,2,79%
W24,4,2025-01-27,T1,AY,Finnair,International Short-Haul,A320,8,1,80%
W24,4,2025-01-27,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,81%
W24,4,2025-01-27,T1,U2,easyJet,International Short-Haul,A320,44,8,80%
W24,4,2025-01-27,T1,W6,Wizz Air,International Short-Haul,A320,36,6,79%
W24,4,2025-01-27,T2,AA,American Airlines,Transatlantic CBP,B787,22,4,84%
W24,4,2025-01-27,T2,UA,United Airlines,Transatlantic CBP,B787,11,2,84%
W24,4,2025-01-27,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,4,2025-01-27,T2,AC,Air Canada,Transatlantic CBP,B787,5,1,86%
W24,4,2025-01-27,T2,EK,Emirates,International Long-Haul,B777,10,2,82%
W24,4,2025-01-27,T2,EY,Etihad,International Long-Haul,A330,5,1,80%
W24,4,2025-01-27,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,4,2025-01-27,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,5,2025-02-03,T1,FR,Ryanair,International Short-Haul,B737,783,132,79%
W24,5,2025-02-03,T1,FR,Ryanair,International Short-Haul,A320,54,9,81%
W24,5,2025-02-03,T1,FR,Ryanair,Domestic,B737,42,8,68%
W24,5,2025-02-03,T2,EI,Aer Lingus,International Short-Haul,A320,258,46,81%
W24,5,2025-02-03,T2,EI,Aer Lingus,Transatlantic CBP,A330,96,17,88%
W24,5,2025-02-03,T2,EI,Aer Lingus,Transatlantic CBP,B787,48,8,85%
W24,5,2025-02-03,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,81%
W24,5,2025-02-03,T2,RE,Aer Lingus Regional,Domestic,ATR72,93,15,68%
W24,5,2025-02-03,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,62,10,82%
W24,5,2025-02-03,T2,BA,British Airways,International Short-Haul,A320,59,10,81%
W24,5,2025-02-03,T2,BA,British Airways,International Short-Haul,E-Jet,44,8,81%
W24,5,2025-02-03,T1,LH,Lufthansa,International Short-Haul,A320,36,6,79%
W24,5,2025-02-03,T1,AF,Air France,International Short-Haul,A320,33,6,82%
W24,5,2025-02-03,T1,KL,KLM,International Short-Haul,A320,32,6,81%
W24,5,2025-02-03,T1,IB,Iberia,International Short-Haul,A320,20,4,82%
W24,5,2025-02-03,T1,VY,Vueling,International Short-Haul,A320,19,4,81%
W24,5,2025-02-03,T1,OS,Austrian,International Short-Haul,A320,10,2,80%
W24,5,2025-02-03,T1,SK,SAS,International Short-Haul,A320,11,2,82%
W24,5,2025-02-03,T1,AY,Finnair,International Short-Haul,A320,8,1,82%
W24,5,2025-02-03,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,84%
W24,5,2025-02-03,T1,U2,easyJet,International Short-Haul,A320,46,8,81%
W24,5,2025-02-03,T1,W6,Wizz Air,International Short-Haul,A320,37,6,80%
W24,5,2025-02-03,T2,AA,American Airlines,Transatlantic CBP,B787,24,4,88%
W24,5,2025-02-03,T2,UA,United Airlines,Transatlantic CBP,B787,12,2,86%
W24,5,2025-02-03,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,5,2025-02-03,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,85%
W24,5,2025-02-03,T2,EK,Emirates,International Long-Haul,B777,10,2,83%
W24,5,2025-02-03,T2,EY,Etihad,International Long-Haul,A330,5,1,83%
W24,5,2025-02-03,T1,5X,UPS,Cargo,B767,4,1,nan%
W24,5,2025-02-03,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,6,2025-02-10,T1,FR,Ryanair,International Short-Haul,B737,750,144,80%
W24,6,2025-02-10,T1,FR,Ryanair,International Short-Haul,A320,54,10,82%
W24,6,2025-02-10,T1,FR,Ryanair,Domestic,B737,42,8,68%
W24,6,2025-02-10,T2,EI,Aer Lingus,International Short-Haul,A320,248,46,81%
W24,6,2025-02-10,T2,EI,Aer Lingus,Transatlantic CBP,A330,93,18,85%
W24,6,2025-02-10,T2,EI,Aer Lingus,Transatlantic CBP,B787,47,8,86%
W24,6,2025-02-10,T2,EI,Aer Lingus,International Long-Haul,A330,10,2,81%
W24,6,2025-02-10,T2,RE,Aer Lingus Regional,Domestic,ATR72,94,17,69%
W24,6,2025-02-10,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,64,11,80%
W24,6,2025-02-10,T2,BA,British Airways,International Short-Haul,A320,63,11,82%
W24,6,2025-02-10,T2,BA,British Airways,International Short-Haul,E-Jet,42,8,79%
W24,6,2025-02-10,T1,LH,Lufthansa,International Short-Haul,A320,37,7,82%
W24,6,2025-02-10,T1,AF,Air France,International Short-Haul,A320,31,6,82%
W24,6,2025-02-10,T1,KL,KLM,International Short-Haul,A320,33,6,81%
W24,6,2025-02-10,T1,IB,Iberia,International Short-Haul,A320,20,4,81%
W24,6,2025-02-10,T1,VY,Vueling,International Short-Haul,A320,20,3,80%
W24,6,2025-02-10,T1,OS,Austrian,International Short-Haul,A320,11,2,80%
W24,6,2025-02-10,T1,SK,SAS,International Short-Haul,A320,11,2,79%
W24,6,2025-02-10,T1,AY,Finnair,International Short-Haul,A320,8,1,81%
W24,6,2025-02-10,T1,TK,Turkish Airlines,International Long-Haul,A320,15,3,84%
W24,6,2025-02-10,T1,U2,easyJet,International Short-Haul,A320,45,8,80%
W24,6,2025-02-10,T1,W6,Wizz Air,International Short-Haul,A320,39,7,79%
W24,6,2025-02-10,T2,AA,American Airlines,Transatlantic CBP,B787,25,5,88%
W24,6,2025-02-10,T2,UA,United Airlines,Transatlantic CBP,B787,12,2,86%
W24,6,2025-02-10,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,85%
W24,6,2025-02-10,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,88%
W24,6,2025-02-10,T2,EK,Emirates,International Long-Haul,B777,11,2,83%
W24,6,2025-02-10,T2,EY,Etihad,International Long-Haul,A330,5,1,84%
W24,6,2025-02-10,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,6,2025-02-10,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,7,2025-02-17,T1,FR,Ryanair,International Short-Haul,B737,901,170,83%
W24,7,2025-02-17,T1,FR,Ryanair,International Short-Haul,A320,69,13,82%
W24,7,2025-02-17,T1,FR,Ryanair,Domestic,B737,50,10,71%
W24,7,2025-02-17,T2,EI,Aer Lingus,International Short-Haul,A320,304,54,80%
W24,7,2025-02-17,T2,EI,Aer Lingus,Transatlantic CBP,A330,118,21,86%
W24,7,2025-02-17,T2,EI,Aer Lingus,Transatlantic CBP,B787,57,10,87%
W24,7,2025-02-17,T2,EI,Aer Lingus,International Long-Haul,A330,12,2,84%
W24,7,2025-02-17,T2,RE,Aer Lingus Regional,Domestic,ATR72,115,21,71%
W24,7,2025-02-17,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,74,13,83%
W24,7,2025-02-17,T2,BA,British Airways,International Short-Haul,A320,73,12,80%
W24,7,2025-02-17,T2,BA,British Airways,International Short-Haul,E-Jet,55,10,82%
W24,7,2025-02-17,T1,LH,Lufthansa,International Short-Haul,A320,41,7,80%
W24,7,2025-02-17,T1,AF,Air France,International Short-Haul,A320,39,7,81%
W24,7,2025-02-17,T1,KL,KLM,International Short-Haul,A320,39,7,81%
W24,7,2025-02-17,T1,IB,Iberia,International Short-Haul,A320,25,5,81%
W24,7,2025-02-17,T1,VY,Vueling,International Short-Haul,A320,23,4,83%
W24,7,2025-02-17,T1,OS,Austrian,International Short-Haul,A320,13,2,82%
W24,7,2025-02-17,T1,SK,SAS,International Short-Haul,A320,13,2,83%
W24,7,2025-02-17,T1,AY,Finnair,International Short-Haul,A320,10,2,82%
W24,7,2025-02-17,T1,TK,Turkish Airlines,International Long-Haul,A320,18,3,82%
W24,7,2025-02-17,T1,U2,easyJet,International Short-Haul,A320,51,9,80%
W24,7,2025-02-17,T1,W6,Wizz Air,International Short-Haul,A320,46,8,81%
W24,7,2025-02-17,T2,AA,American Airlines,Transatlantic CBP,B787,30,5,88%
W24,7,2025-02-17,T2,UA,United Airlines,Transatlantic CBP,B787,14,2,86%
W24,7,2025-02-17,T2,DL,Delta Air Lines,Transatlantic CBP,A330,7,1,86%
W24,7,2025-02-17,T2,AC,Air Canada,Transatlantic CBP,B787,7,1,87%
W24,7,2025-02-17,T2,EK,Emirates,International Long-Haul,B777,12,2,84%
W24,7,2025-02-17,T2,EY,Etihad,International Long-Haul,A330,6,1,85%
W24,7,2025-02-17,T1,5X,UPS,Cargo,B767,6,1,nan%
W24,7,2025-02-17,T1,FX,FedEx,Cargo,A320,4,1,nan%
W24,8,2025-02-24,T1,FR,Ryanair,International Short-Haul,B737,792,136,82%
W24,8,2025-02-24,T1,FR,Ryanair,International Short-Haul,A320,59,10,80%
W24,8,2025-02-24,T1,FR,Ryanair,Domestic,B737,42,7,69%
W24,8,2025-02-24,T2,EI,Aer Lingus,International Short-Haul,A320,270,48,82%
W24,8,2025-02-24,T2,EI,Aer Lingus,Transatlantic CBP,A330,94,16,88%
W24,8,2025-02-24,T2,EI,Aer Lingus,Transatlantic CBP,B787,51,9,87%
W24,8,2025-02-24,T2,EI,Aer Lingus,International Long-Haul,A330,11,2,83%
W24,8,2025-02-24,T2,RE,Aer Lingus Regional,Domestic,ATR72,95,16,68%
W24,8,2025-02-24,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,62,11,80%
W24,8,2025-02-24,T2,BA,British Airways,International Short-Haul,A320,64,11,82%
W24,8,2025-02-24,T2,BA,British Airways,International Short-Haul,E-Jet,47,9,82%
W24,8,2025-02-24,T1,LH,Lufthansa,International Short-Haul,A320,37,6,81%
W24,8,2025-02-24,T1,AF,Air France,International Short-Haul,A320,35,6,80%
W24,8,2025-02-24,T1,KL,KLM,International Short-Haul,A320,33,6,80%
W24,8,2025-02-24,T1,IB,Iberia,International Short-Haul,A320,22,4,80%
W24,8,2025-02-24,T1,VY,Vueling,International Short-Haul,A320,21,4,80%
W24,8,2025-02-24,T1,OS,Austrian,International Short-Haul,A320,11,2,80%
W24,8,2025-02-24,T1,SK,SAS,International Short-Haul,A320,11,2,80%
W24,8,2025-02-24,T1,AY,Finnair,International Short-Haul,A320,8,2,79%
W24,8,2025-02-24,T1,TK,Turkish Airlines,International Long-Haul,A320,17,3,85%
W24,8,2025-02-24,T1,U2,easyJet,International Short-Haul,A320,45,8,83%
W24,8,2025-02-24,T1,W6,Wizz Air,International Short-Haul,A320,41,8,80%
W24,8,2025-02-24,T2,AA,American Airlines,Transatlantic CBP,B787,24,4,88%
W24,8,2025-02-24,T2,UA,United Airlines,Transatlantic CBP,B787,13,2,86%
W24,8,2025-02-24,T2,DL,Delta Air Lines,Transatlantic CBP,A330,6,1,86%
W24,8,2025-02-24,T2,AC,Air Canada,Transatlantic CBP,B787,6,1,86%
W24,8,2025-02-24,T2,EK,Emirates,International Long-Haul,B777,11,2,82%
W24,8,2025-02-24,T2,EY,Etihad,International Long-Haul,A330,6,1,83%
W24,8,2025-02-24,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,8,2025-02-24,T1,FX,FedEx,Cargo,A320,3,1,nan%
W24,9,2025-03-03,T1,FR,Ryanair,International Short-Haul,B737,858,165,81%
W24,9,2025-03-03,T1,FR,Ryanair,International Short-Haul,A320,64,11,82%
W24,9,2025-03-03,T1,FR,Ryanair,Domestic,B737,48,9,69%
W24,9,2025-03-03,T2,EI,Aer Lingus,International Short-Haul,A320,294,51,83%
W24,9,2025-03-03,T2,EI,Aer Lingus,Transatlantic CBP,A330,111,21,86%
W24,9,2025-03-03,T2,EI,Aer Lingus,Transatlantic CBP,B787,55,11,86%
W24,9,2025-03-03,T2,EI,Aer Lingus,International Long-Haul,A330,11,2,84%
W24,9,2025-03-03,T2,RE,Aer Lingus Regional,Domestic,ATR72,110,19,70%
W24,9,2025-03-03,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,68,11,80%
W24,9,2025-03-03,T2,BA,British Airways,International Short-Haul,A320,72,13,81%
W24,9,2025-03-03,T2,BA,British Airways,International Short-Haul,E-Jet,50,9,81%
W24,9,2025-03-03,T1,LH,Lufthansa,International Short-Haul,A320,42,7,81%
W24,9,2025-03-03,T1,AF,Air France,International Short-Haul,A320,37,6,82%
W24,9,2025-03-03,T1,KL,KLM,International Short-Haul,A320,37,6,83%
W24,9,2025-03-03,T1,IB,Iberia,International Short-Haul,A320,23,4,83%
W24,9,2025-03-03,T1,VY,Vueling,International Short-Haul,A320,22,4,83%
W24,9,2025-03-03,T1,OS,Austrian,International Short-Haul,A320,13,2,80%
W24,9,2025-03-03,T1,SK,SAS,International Short-Haul,A320,13,2,81%
W24,9,2025-03-03,T1,AY,Finnair,International Short-Haul,A320,10,2,80%
W24,9,2025-03-03,T1,TK,Turkish Airlines,International Long-Haul,A320,18,3,84%
W24,9,2025-03-03,T1,U2,easyJet,International Short-Haul,A320,48,9,82%
W24,9,2025-03-03,T1,W6,Wizz Air,International Short-Haul,A320,45,8,83%
W24,9,2025-03-03,T2,AA,American Airlines,Transatlantic CBP,B787,26,5,86%
W24,9,2025-03-03,T2,UA,United Airlines,Transatlantic CBP,B787,14,3,86%
W24,9,2025-03-03,T2,DL,Delta Air Lines,Transatlantic CBP,A330,7,1,88%
W24,9,2025-03-03,T2,AC,Air Canada,Transatlantic CBP,B787,7,1,87%
W24,9,2025-03-03,T2,EK,Emirates,International Long-Haul,B777,12,2,82%
W24,9,2025-03-03,T2,EY,Etihad,International Long-Haul,A330,6,1,83%
W24,9,2025-03-03,T1,5X,UPS,Cargo,B767,5,1,nan%
W24,9,2025-03-03,T1,FX,FedEx,Cargo,A320,4,1,nan%
W24,10,2025-03-10,T1,FR,Ryanair,International Short-Haul,B737,978,178,80%
W24,10,2025-03-10,T1,FR,Ryanair,International Short-Haul,A320,71,14,82%
W24,10,2025-03-10,T1,FR,Ryanair,Domestic,B737,52,10,71%
W24,10,2025-03-10,T2,EI,Aer Lingus,International Short-Haul,A320,312,56,82%
W24,10,2025-03-10,T2,EI,Aer Lingus,Transatlantic CBP,A330,116,21,90%
W24,10,2025-03-10,T2,EI,Aer Lingus,Transatlantic CBP,B787,61,11,86%
W24,10,2025-03-10,T2,EI,Aer Lingus,International Long-Haul,A330,14,3,82%
W24,10,2025-03-10,T2,RE,Aer Lingus Regional,Domestic,ATR72,120,23,70%
W24,10,2025-03-10,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,77,14,80%
W24,10,2025-03-10,T2,BA,British Airways,International Short-Haul,A320,75,14,80%
W24,10,2025-03-10,T2,BA,British Airways,International Short-Haul,E-Jet,54,9,82%
W24,10,2025-03-10,T1,LH,Lufthansa,International Short-Haul,A320,46,8,81%
W24,10,2025-03-10,T1,AF,Air France,International Short-Haul,A320,42,7,81%
W24,10,2025-03-10,T1,KL,KLM,International Short-Haul,A320,41,7,81%
W24,10,2025-03-10,T1,IB,Iberia,International Short-Haul,A320,25,4,83%
W24,10,2025-03-10,T1,VY,Vueling,International Short-Haul,A320,23,4,82%
W24,10,2025-03-10,T1,OS,Austrian,International Short-Haul,A320,13,2,81%
W24,10,2025-03-10,T1,SK,SAS,International Short-Haul,A320,14,2,81%
W24,10,2025-03-10,T1,AY,Finnair,International Short-Haul,A320,10,2,82%
W24,10,2025-03-10,T1,TK,Turkish Airlines,International Long-Haul,A320,20,3,85%
W24,10,2025-03-10,T1,U2,easyJet,International Short-Haul,A320,54,10,81%
W24,10,2025-03-10,T1,W6,Wizz Air,International Short-Haul,A320,45,7,82%
W24,10,2025-03-10,T2,AA,American Airlines,Transatlantic CBP,B787,30,5,89%
W24,10,2025-03-10,T2,UA,United Airlines,Transatlantic CBP,B787,15,3,88%
W24,10,2025-03-10,T2,DL,Delta Air Lines,Transatlantic CBP,A330,7,1,86%
W24,10,2025-03-10,T2,AC,Air Canada,Transatlantic CBP,B787,7,1,90%
W24,10,2025-03-10,T2,EK,Emirates,International Long-Haul,B777,13,2,84%
W24,10,2025-03-10,T2,EY,Etihad,International Long-Haul,A330,6,1,82%
W24,10,2025-03-10,T1,5X,UPS,Cargo,B767,6,1,nan%
W24,10,2025-03-10,T1,FX,FedEx,Cargo,A320,4,1,nan%
W24,11,2025-03-17,T1,FR,Ryanair,International Short-Haul,B737,1231,226,82%
W24,11,2025-03-17,T1,FR,Ryanair,International Short-Haul,A320,85,16,83%
W24,11,2025-03-17,T1,FR,Ryanair,Domestic,B737,66,11,70%
W24,11,2025-03-17,T2,EI,Aer Lingus,International Short-Haul,A320,407,75,85%
W24,11,2025-03-17,T2,EI,Aer Lingus,Transatlantic CBP,A330,156,27,90%
W24,11,2025-03-17,T2,EI,Aer Lingus,Transatlantic CBP,B787,73,13,91%
W24,11,2025-03-17,T2,EI,Aer Lingus,International Long-Haul,A330,16,3,85%
W24,11,2025-03-17,T2,RE,Aer Lingus Regional,Domestic,ATR72,143,24,72%
W24,11,2025-03-17,T2,RE,Aer Lingus Regional,International Short-Haul,ATR72,98,19,85%
W24,11,2025-03-17,T2,BA,British Airways,International Short-Haul,A320,97,17,83%
W24,11,2025-03-17,T2,BA,British Airways,International Short-Haul,E-Jet,72,12,84%
W24,11,2025-03-17,T1,LH,Lufthansa,International Short-Haul,A320,57,10,84%
W24,11,2025-03-17,T1,AF,Air France,International Short-Haul,A320,52,10,85%
W24,11,2025-03-17,T1,KL,KLM,International Short-Haul,A320,51,10,84%
W24,11,2025-03-17,T1,IB,Iberia,International Short-Haul,A320,34,6,84%
W24,11,2025-03-17,T1,VY,Vueling,International Short-Haul,A320,29,5,84%
W24,11,2025-03-17,T1,OS,Austrian,International Short-Haul,A320,18,3,82%
W24,11,2025-03-17,T1,SK,SAS,International Short-Haul,A320,18,3,84%
W24,11,2025-03-17,T1,AY,Finnair,International Short-Haul,A320,13,2,82%
W24,11,2025-03-17,T1,TK,Turkish Airlines,International Long-Haul,A320,26,4,86%
W24,11,2025-03-17,T1,U2,easyJet,International Short-Haul,A320,70,13,84%
W24,11,2025-03-17,T1,W6,Wizz Air,International Short-Haul,A320,62,11,82%
W24,11,2025-03-17,T2,AA,American Airlines,Transatlantic CBP,B787,37,7,91%
W24,11,2025-03-17,T2,UA,United Airlines,Transatlantic CBP,B787,19,3,90%
